Timepoint (1min, 128Hz)	1 - F7	2 - F3	3 - F4	4 - F8	5 - T3	6 - C3	7 - Cz	8 - C4	9 - T4	10 - T5	11 - P3	12 - Pz	13 - P4	14 - T6	15 - O1	16 - O2
3786	-34.26	85.64	0	0	-34.26	137.02	-34.26	85.64	-102.77	0	-34.26	17.13	-34.26	-85.64	-85.64	-102.77
3787	-34.26	85.64	137.02	68.51	-85.64	102.77	-34.26	0	-51.38	0	-102.77	-222.66	-205.53	-154.15	-34.26	-102.77
3788	-51.38	68.51	171.28	119.89	-119.89	51.38	-34.26	-34.26	0	-17.13	-171.28	-359.68	-291.17	-205.53	-137.02	-205.53
3789	17.13	239.79	239.79	171.28	0	102.77	0	0	68.51	0	-171.28	-342.55	-274.04	-171.28	-308.3	-342.55
3790	119.89	376.81	256.91	256.91	68.51	205.53	51.38	68.51	85.64	-34.26	-102.77	-205.53	-205.53	-137.02	-325.42	-342.55
3791	274.04	582.34	325.42	256.91	239.79	376.81	85.64	102.77	51.38	-17.13	17.13	17.13	-68.51	-85.64	-256.91	-274.04
3792	256.91	530.95	308.3	205.53	188.4	342.55	34.26	68.51	17.13	0	0	51.38	-85.64	-85.64	-222.66	-256.91
3793	68.51	205.53	205.53	85.64	-51.38	188.4	51.38	34.26	34.26	17.13	51.38	188.4	137.02	85.64	0	0
3794	17.13	154.15	171.28	119.89	-68.51	188.4	137.02	85.64	85.64	17.13	68.51	256.91	256.91	205.53	17.13	17.13
3795	17.13	68.51	85.64	171.28	-85.64	34.26	68.51	85.64	205.53	0	-17.13	154.15	256.91	291.17	-119.89	0
3796	-51.38	-34.26	17.13	85.64	-85.64	-102.77	-85.64	17.13	154.15	-102.77	-154.15	-34.26	85.64	188.4	-274.04	-137.02
3797	-239.79	-393.93	-342.55	-256.91	-205.53	-565.21	-530.95	-291.17	0	-359.68	-393.93	-393.93	-291.17	-154.15	-342.55	-428.19
3798	-256.91	-462.44	-479.57	-411.06	-239.79	-633.72	-599.46	-411.06	-85.64	-325.42	-359.68	-411.06	-376.81	-274.04	-239.79	-428.19
3799	-154.15	-445.32	-445.32	-479.57	-85.64	-393.93	-411.06	-445.32	-342.55	-119.89	-154.15	-188.4	-325.42	-274.04	-51.38	-171.28
3800	-137.02	-496.7	-428.19	-445.32	17.13	-256.91	-291.17	-462.44	-445.32	-68.51	-85.64	-154.15	-256.91	-222.66	-51.38	-68.51
3801	-256.91	-702.23	-462.44	-393.93	17.13	-308.3	-342.55	-496.7	-513.83	-256.91	-239.79	-205.53	-205.53	-171.28	-154.15	-17.13
3802	-376.81	-804.99	-496.7	-376.81	-85.64	-411.06	-411.06	-513.83	-462.44	-308.3	-274.04	-205.53	-188.4	-137.02	-154.15	0
3803	-359.68	-685.1	-342.55	-222.66	-171.28	-428.19	-411.06	-325.42	-325.42	-291.17	-205.53	-51.38	17.13	-17.13	-17.13	119.89
3804	-239.79	-565.21	-291.17	-188.4	-85.64	-342.55	-325.42	-256.91	-325.42	-205.53	-154.15	34.26	85.64	68.51	51.38	239.79
3805	-119.89	-530.95	-291.17	-274.04	-17.13	-239.79	-256.91	-291.17	-376.81	-171.28	-85.64	119.89	205.53	137.02	154.15	428.19
3806	-205.53	-650.85	-376.81	-325.42	-34.26	-291.17	-274.04	-325.42	-376.81	-205.53	-137.02	119.89	222.66	154.15	188.4	462.44
3807	-393.93	-770.74	-393.93	-274.04	-205.53	-411.06	-205.53	-291.17	-239.79	-171.28	-51.38	188.4	256.91	171.28	239.79	445.32
3808	-445.32	-719.36	-359.68	-222.66	-239.79	-411.06	-137.02	-188.4	-171.28	-102.77	17.13	239.79	274.04	171.28	274.04	393.93
3809	-222.66	-496.7	-325.42	-256.91	-51.38	-274.04	34.26	-137.02	-325.42	0	17.13	119.89	51.38	68.51	85.64	-34.26
3810	-171.28	-530.95	-342.55	-291.17	-51.38	-239.79	17.13	-205.53	-359.68	-34.26	0	0	-51.38	0	-17.13	-137.02
3811	-171.28	-599.46	-359.68	-274.04	-137.02	-222.66	-17.13	-325.42	-274.04	-154.15	-154.15	-154.15	-359.68	-171.28	-239.79	-462.44
3812	-171.28	-565.21	-359.68	-239.79	-137.02	-239.79	-51.38	-342.55	-222.66	-222.66	-205.53	-205.53	-445.32	-291.17	-274.04	-565.21
3813	-51.38	-325.42	-342.55	-239.79	-34.26	-205.53	-51.38	-325.42	-239.79	-222.66	-137.02	-154.15	-393.93	-342.55	-222.66	-530.95
3814	0	-205.53	-325.42	-256.91	51.38	-154.15	-17.13	-291.17	-291.17	-137.02	-85.64	-51.38	-256.91	-256.91	-119.89	-359.68
3815	119.89	-17.13	-154.15	-171.28	119.89	0	0	-222.66	-325.42	17.13	34.26	85.64	17.13	0	119.89	17.13
3816	102.77	0	-34.26	-85.64	68.51	68.51	17.13	-137.02	-205.53	85.64	51.38	154.15	119.89	34.26	205.53	154.15
3817	0	0	17.13	-34.26	34.26	85.64	0	0	-34.26	51.38	17.13	85.64	154.15	85.64	274.04	154.15
3818	-34.26	17.13	0	17.13	34.26	34.26	0	-34.26	17.13	-34.26	-17.13	0	68.51	68.51	239.79	85.64
3819	-17.13	17.13	-34.26	-85.64	17.13	0	17.13	-34.26	-34.26	-137.02	-154.15	-205.53	-102.77	0	34.26	-34.26
3820	34.26	17.13	34.26	-34.26	0	17.13	51.38	-34.26	-51.38	-154.15	-171.28	-274.04	-222.66	-51.38	0	-51.38
3821	68.51	51.38	154.15	34.26	0	68.51	137.02	-34.26	-34.26	-102.77	-137.02	-325.42	-393.93	-274.04	-102.77	-222.66
3822	17.13	119.89	171.28	68.51	17.13	51.38	154.15	34.26	17.13	-68.51	-68.51	-274.04	-393.93	-342.55	-34.26	-274.04
3823	-17.13	68.51	68.51	17.13	34.26	-34.26	119.89	68.51	0	-34.26	0	-222.66	-256.91	-256.91	17.13	-239.79
3824	-17.13	17.13	17.13	17.13	17.13	-34.26	102.77	34.26	0	0	17.13	-205.53	-154.15	-137.02	68.51	-205.53
3825	17.13	-85.64	17.13	17.13	17.13	-17.13	0	17.13	17.13	119.89	68.51	-34.26	-34.26	34.26	34.26	-119.89
3826	0	-85.64	-102.77	0	0	-51.38	-34.26	0	17.13	154.15	137.02	0	-34.26	34.26	34.26	-51.38
3827	-17.13	-85.64	-325.42	-239.79	17.13	-85.64	-188.4	-154.15	-17.13	85.64	85.64	34.26	-34.26	-17.13	17.13	51.38
3828	0	-85.64	-359.68	-325.42	0	-68.51	-291.17	-239.79	17.13	17.13	17.13	-17.13	-51.38	-51.38	-17.13	119.89
3829	0	-34.26	-222.66	-256.91	-85.64	-171.28	-325.42	-291.17	-17.13	-222.66	-274.04	-171.28	-51.38	-34.26	-137.02	119.89
3830	0	-34.26	-137.02	-154.15	-85.64	-256.91	-308.3	-274.04	0	-274.04	-325.42	-239.79	-34.26	0	-171.28	102.77
3831	17.13	17.13	-102.77	-51.38	-17.13	-291.17	-188.4	-137.02	34.26	-188.4	-222.66	-274.04	-34.26	51.38	-188.4	-17.13
3832	0	0	-119.89	-34.26	34.26	-239.79	-154.15	-51.38	68.51	-102.77	-171.28	-274.04	-34.26	68.51	-205.53	-102.77
3833	17.13	-34.26	0	51.38	68.51	-171.28	-154.15	-34.26	137.02	-154.15	-171.28	-411.06	-171.28	0	-393.93	-359.68
3834	68.51	-34.26	17.13	85.64	17.13	-222.66	-171.28	-85.64	119.89	-256.91	-291.17	-548.08	-342.55	-102.77	-496.7	-496.7
3835	0	0	85.64	119.89	-325.42	-393.93	-308.3	-274.04	-17.13	-462.44	-582.34	-822.12	-616.59	-342.55	-633.72	-685.1
3836	-34.26	17.13	85.64	85.64	-411.06	-479.57	-342.55	-325.42	-51.38	-513.83	-633.72	-839.25	-650.85	-376.81	-667.97	-702.23
3837	-137.02	17.13	34.26	68.51	-274.04	-411.06	-325.42	-274.04	-51.38	-393.93	-445.32	-496.7	-342.55	-154.15	-496.7	-411.06
3838	-119.89	-34.26	34.26	85.64	-102.77	-325.42	-239.79	-171.28	0	-274.04	-274.04	-205.53	-85.64	0	-376.81	-154.15
3839	0	0	119.89	222.66	51.38	-102.77	-17.13	68.51	137.02	-68.51	17.13	274.04	308.3	325.42	-51.38	239.79
3840	0	-17.13	137.02	205.53	34.26	-85.64	0	154.15	119.89	-34.26	17.13	325.42	359.68	325.42	17.13	308.3
3841	-17.13	-85.64	0	0	-17.13	-325.42	-256.91	-51.38	-137.02	0	17.13	-34.26	-51.38	-51.38	68.51	0
3842	-17.13	-68.51	17.13	-34.26	0	-359.68	-342.55	-222.66	-171.28	51.38	34.26	-102.77	-256.91	-239.79	68.51	-154.15
3843	17.13	-34.26	-34.26	0	119.89	-222.66	-256.91	-291.17	-137.02	137.02	51.38	-256.91	-496.7	-445.32	0	-376.81
3844	34.26	-17.13	-34.26	0	137.02	-102.77	-154.15	-222.66	-102.77	119.89	34.26	-325.42	-599.46	-479.57	-17.13	-479.57
3845	0	-17.13	-34.26	-51.38	0	-51.38	-85.64	-85.64	-51.38	-34.26	-102.77	-599.46	-702.23	-445.32	-205.53	-599.46
3846	-85.64	-34.26	-51.38	-102.77	-85.64	-119.89	-154.15	-85.64	-51.38	-85.64	-205.53	-753.61	-702.23	-376.81	-274.04	-650.85
3847	-205.53	-51.38	0	0	-239.79	-274.04	-274.04	-85.64	17.13	-239.79	-325.42	-873.5	-565.21	-274.04	-376.81	-702.23
3848	-205.53	0	34.26	34.26	-239.79	-274.04	-256.91	-34.26	85.64	-256.91	-342.55	-770.74	-445.32	-239.79	-445.32	-685.1
3849	-85.64	137.02	154.15	137.02	-154.15	-171.28	-137.02	68.51	171.28	-239.79	-325.42	-530.95	-256.91	-205.53	-513.83	-530.95
3850	-17.13	171.28	171.28	137.02	-119.89	-137.02	-102.77	119.89	154.15	-222.66	-325.42	-462.44	-205.53	-171.28	-548.08	-411.06
3851	0	119.89	154.15	68.51	-137.02	-154.15	-119.89	51.38	51.38	-188.4	-291.17	-376.81	-102.77	-102.77	-496.7	-205.53
3852	0	85.64	119.89	34.26	-137.02	-154.15	-137.02	0	17.13	-154.15	-222.66	-291.17	-51.38	-51.38	-428.19	-102.77
3853	68.51	188.4	51.38	-34.26	-17.13	-85.64	-137.02	0	17.13	-34.26	-85.64	-51.38	0	0	-274.04	119.89
3854	137.02	291.17	34.26	17.13	17.13	17.13	-51.38	17.13	85.64	-17.13	-17.13	17.13	68.51	34.26	-256.91	256.91
3855	222.66	393.93	119.89	119.89	137.02	51.38	0	171.28	154.15	17.13	-17.13	68.51	137.02	188.4	-137.02	445.32
3856	239.79	376.81	171.28	171.28	154.15	102.77	34.26	171.28	137.02	17.13	-17.13	0	102.77	205.53	-102.77	428.19
3857	137.02	274.04	102.77	68.51	34.26	51.38	-85.64	-137.02	0	0	-17.13	-342.55	-393.93	-205.53	-154.15	-137.02
3858	102.77	291.17	68.51	17.13	0	0	-137.02	-239.79	-51.38	17.13	-34.26	-411.06	-565.21	-376.81	-171.28	-325.42
3859	119.89	308.3	154.15	68.51	34.26	0	-34.26	-205.53	-51.38	102.77	34.26	-342.55	-616.59	-428.19	0	-376.81
3860	154.15	325.42	205.53	85.64	154.15	68.51	17.13	-119.89	-68.51	205.53	154.15	-274.04	-496.7	-291.17	68.51	-291.17
3861	205.53	274.04	102.77	0	205.53	256.91	119.89	0	-102.77	308.3	256.91	-188.4	-325.42	-34.26	188.4	-137.02
3862	188.4	188.4	0	-17.13	119.89	274.04	34.26	-51.38	-119.89	239.79	154.15	-239.79	-274.04	0	85.64	-102.77
3863	0	-17.13	-171.28	-102.77	-51.38	0	-119.89	-205.53	-51.38	-51.38	-137.02	-325.42	-205.53	0	-291.17	-222.66
3864	-17.13	-51.38	-137.02	-51.38	-85.64	-85.64	-137.02	-205.53	17.13	-205.53	-274.04	-376.81	-154.15	17.13	-428.19	-256.91
3865	0	0	17.13	51.38	17.13	-205.53	-68.51	-34.26	222.66	-222.66	-342.55	-376.81	-137.02	17.13	-513.83	-274.04
3866	-17.13	34.26	68.51	85.64	85.64	-171.28	-34.26	68.51	256.91	-171.28	-325.42	-393.93	-171.28	-34.26	-462.44	-274.04
3867	-17.13	0	17.13	34.26	51.38	-119.89	-51.38	51.38	308.3	-102.77	-308.3	-496.7	-411.06	-274.04	-325.42	-342.55
3868	17.13	-85.64	0	-34.26	17.13	-137.02	-102.77	0	308.3	-85.64	-325.42	-582.34	-513.83	-393.93	-291.17	-393.93
3869	0	-34.26	-17.13	-17.13	34.26	-171.28	-239.79	-137.02	274.04	-85.64	-342.55	-685.1	-582.34	-479.57	-119.89	-530.95
3870	17.13	0	0	-34.26	51.38	-154.15	-222.66	-119.89	274.04	-68.51	-291.17	-685.1	-565.21	-479.57	17.13	-565.21
3871	137.02	188.4	-34.26	0	68.51	-34.26	-51.38	-34.26	205.53	-17.13	-51.38	-496.7	-479.57	-411.06	171.28	-479.57
3872	188.4	188.4	-17.13	-34.26	68.51	85.64	0	34.26	137.02	34.26	102.77	-359.68	-462.44	-393.93	239.79	-393.93
3873	119.89	68.51	-51.38	-119.89	171.28	325.42	119.89	0	-137.02	428.19	496.7	0	-393.93	-239.79	239.79	-222.66
3874	85.64	68.51	-17.13	-51.38	154.15	308.3	119.89	-17.13	-154.15	428.19	445.32	68.51	-291.17	-154.15	171.28	-205.53
3875	17.13	68.51	85.64	137.02	17.13	154.15	137.02	34.26	0	171.28	239.79	205.53	0	17.13	0	-85.64
3876	0	34.26	171.28	239.79	-34.26	85.64	171.28	154.15	51.38	34.26	137.02	291.17	239.79	154.15	-102.77	17.13
3877	68.51	17.13	188.4	239.79	85.64	85.64	274.04	359.68	119.89	0	34.26	411.06	599.46	445.32	-239.79	376.81
3878	102.77	34.26	154.15	154.15	188.4	137.02	274.04	393.93	68.51	0	17.13	411.06	667.97	496.7	-256.91	513.83
3879	137.02	137.02	85.64	34.26	171.28	154.15	188.4	291.17	0	-51.38	-102.77	256.91	548.08	376.81	-325.42	479.57
3880	119.89	171.28	85.64	51.38	68.51	85.64	154.15	239.79	-34.26	-154.15	-205.53	154.15	411.06	256.91	-359.68	325.42
3881	85.64	308.3	325.42	308.3	-34.26	17.13	154.15	137.02	34.26	-239.79	-274.04	17.13	154.15	85.64	-325.42	51.38
3882	102.77	393.93	445.32	411.06	0	17.13	188.4	85.64	51.38	-205.53	-222.66	-85.64	0	17.13	-274.04	-17.13
3883	137.02	616.59	667.97	548.08	68.51	68.51	205.53	0	34.26	0	-51.38	-325.42	-274.04	-205.53	-102.77	-274.04
3884	137.02	616.59	667.97	513.83	85.64	119.89	154.15	0	51.38	34.26	-34.26	-445.32	-445.32	-376.81	-51.38	-411.06
3885	119.89	496.7	719.36	513.83	154.15	205.53	85.64	0	51.38	154.15	154.15	-462.44	-633.72	-565.21	17.13	-548.08
3886	154.15	445.32	753.61	565.21	239.79	239.79	85.64	0	68.51	188.4	256.91	-393.93	-633.72	-530.95	85.64	-496.7
3887	256.91	462.44	839.25	702.23	393.93	342.55	274.04	34.26	119.89	256.91	393.93	-102.77	-496.7	-291.17	205.53	-239.79
3888	308.3	548.08	856.38	736.48	376.81	428.19	376.81	85.64	119.89	256.91	411.06	17.13	-376.81	-137.02	239.79	-171.28
3889	222.66	633.72	787.87	633.72	137.02	548.08	633.72	239.79	188.4	171.28	308.3	513.83	256.91	171.28	85.64	-34.26
3890	205.53	582.34	753.61	599.46	137.02	565.21	702.23	308.3	274.04	154.15	308.3	753.61	548.08	342.55	34.26	68.51
3891	239.79	393.93	667.97	582.34	205.53	462.44	667.97	513.83	359.68	17.13	171.28	1027.65	1079.03	719.36	0	496.7
3892	256.91	239.79	599.46	548.08	171.28	308.3	513.83	479.57	308.3	-68.51	0	1010.52	1164.67	804.99	-17.13	719.36
3893	85.64	-51.38	274.04	308.3	34.26	-119.89	68.51	137.02	17.13	-445.32	-376.81	719.36	959.14	753.61	-34.26	959.14
3894	0	-205.53	102.77	119.89	17.13	-325.42	-85.64	-51.38	-85.64	-530.95	-530.95	445.32	685.1	582.34	-85.64	907.76
3895	-51.38	-376.81	-154.15	-154.15	-34.26	-411.06	-325.42	-393.93	-256.91	-530.95	-548.08	-34.26	119.89	119.89	-154.15	548.08
3896	-85.64	-393.93	-291.17	-274.04	-34.26	-325.42	-342.55	-496.7	-274.04	-445.32	-496.7	-239.79	-102.77	-51.38	-137.02	274.04
3897	-171.28	-445.32	-445.32	-411.06	-68.51	-102.77	-359.68	-633.72	-376.81	-256.91	-325.42	-633.72	-565.21	-342.55	-68.51	-51.38
3898	-256.91	-513.83	-496.7	-445.32	-119.89	-85.64	-428.19	-753.61	-462.44	-222.66	-274.04	-770.74	-753.61	-445.32	-34.26	-205.53
3899	-325.42	-616.59	-548.08	-479.57	-171.28	-205.53	-582.34	-924.89	-599.46	-274.04	-342.55	-942.01	-1044.78	-667.97	34.26	-496.7
3900	-291.17	-599.46	-565.21	-513.83	-171.28	-325.42	-685.1	-976.27	-616.59	-359.68	-411.06	-993.4	-1130.42	-804.99	34.26	-667.97
3901	-256.91	-513.83	-599.46	-513.83	-222.66	-462.44	-787.87	-942.01	-565.21	-462.44	-513.83	-873.5	-1147.54	-993.4	85.64	-856.38
3902	-274.04	-548.08	-633.72	-513.83	-256.91	-479.57	-822.12	-856.38	-496.7	-479.57	-513.83	-753.61	-1044.78	-976.27	85.64	-822.12
3903	-496.7	-736.48	-650.85	-513.83	-376.81	-496.7	-719.36	-616.59	-376.81	-376.81	-411.06	-376.81	-685.1	-702.23	137.02	-496.7
3904	-616.59	-787.87	-650.85	-530.95	-445.32	-496.7	-633.72	-479.57	-376.81	-291.17	-325.42	-171.28	-462.44	-513.83	222.66	-325.42
3905	-736.48	-770.74	-616.59	-513.83	-530.95	-479.57	-411.06	-119.89	-256.91	-137.02	-171.28	119.89	-34.26	-137.02	308.3	-51.38
3906	-685.1	-753.61	-565.21	-462.44	-513.83	-462.44	-359.68	-17.13	-154.15	-137.02	-171.28	171.28	85.64	-51.38	308.3	-34.26
3907	-530.95	-753.61	-393.93	-325.42	-342.55	-325.42	-119.89	154.15	0	-102.77	-137.02	308.3	308.3	137.02	411.06	205.53
3908	-496.7	-753.61	-359.68	-274.04	-222.66	-239.79	-34.26	239.79	-17.13	-51.38	-119.89	359.68	376.81	239.79	513.83	325.42
3909	-513.83	-822.12	-445.32	-342.55	-154.15	-205.53	68.51	154.15	-205.53	-51.38	-85.64	188.4	256.91	239.79	599.46	496.7
3910	-582.34	-942.01	-565.21	-462.44	-256.91	-325.42	0	-34.26	-291.17	-51.38	-85.64	34.26	119.89	154.15	548.08	496.7
3911	-685.1	-1181.8	-770.74	-650.85	-479.57	-599.46	-393.93	-342.55	-342.55	0	-17.13	-137.02	-137.02	0	445.32	411.06
3912	-633.72	-1164.67	-839.25	-702.23	-479.57	-616.59	-496.7	-445.32	-325.42	0	17.13	-102.77	-205.53	-85.64	445.32	359.68
3913	-411.06	-804.99	-770.74	-633.72	-222.66	-376.81	-325.42	-342.55	-256.91	68.51	137.02	68.51	-222.66	-171.28	428.19	137.02
3914	-291.17	-565.21	-650.85	-565.21	-85.64	-205.53	-102.77	-222.66	-239.79	68.51	154.15	222.66	-171.28	-222.66	359.68	0
3915	-51.38	-342.55	-376.81	-359.68	34.26	0	291.17	34.26	-137.02	51.38	85.64	359.68	-102.77	-291.17	85.64	-205.53
3916	0	-256.91	-256.91	-256.91	34.26	51.38	411.06	171.28	-85.64	34.26	68.51	393.93	-51.38	-274.04	0	-256.91
3917	154.15	-17.13	-171.28	-205.53	51.38	205.53	530.95	291.17	-34.26	-34.26	-17.13	428.19	68.51	-102.77	-342.55	-308.3
3918	205.53	137.02	-188.4	-171.28	68.51	291.17	565.21	325.42	17.13	-51.38	-51.38	479.57	188.4	17.13	-462.44	-222.66
3919	205.53	188.4	-171.28	-85.64	119.89	479.57	685.1	445.32	85.64	-119.89	-119.89	616.59	513.83	222.66	-513.83	34.26
3920	188.4	102.77	-102.77	17.13	137.02	530.95	702.23	513.83	154.15	-102.77	-102.77	685.1	685.1	342.55	-445.32	188.4
3921	137.02	0	119.89	154.15	205.53	530.95	513.83	565.21	188.4	0	34.26	856.38	890.63	548.08	-325.42	411.06
3922	154.15	85.64	137.02	171.28	239.79	496.7	445.32	479.57	137.02	17.13	137.02	907.76	907.76	548.08	-325.42	445.32
3923	239.79	171.28	34.26	51.38	188.4	428.19	376.81	308.3	34.26	239.79	428.19	959.14	907.76	530.95	-102.77	616.59
3924	222.66	102.77	-17.13	17.13	137.02	411.06	359.68	222.66	17.13	376.81	530.95	976.27	839.25	548.08	119.89	787.87
3925	119.89	-51.38	-68.51	0	17.13	325.42	222.66	68.51	17.13	428.19	548.08	907.76	736.48	565.21	719.36	1027.65
3926	34.26	-85.64	-119.89	-51.38	0	256.91	85.64	17.13	-34.26	376.81	479.57	873.5	702.23	565.21	839.25	1044.78
3927	-34.26	-51.38	-171.28	-102.77	-102.77	34.26	-85.64	-85.64	-34.26	205.53	274.04	804.99	685.1	582.34	804.99	976.27
3928	-34.26	-51.38	-171.28	-137.02	-119.89	17.13	-102.77	-51.38	0	154.15	205.53	804.99	685.1	548.08	667.97	873.5
3929	17.13	-34.26	-51.38	17.13	-102.77	0	34.26	119.89	17.13	68.51	188.4	753.61	633.72	376.81	274.04	393.93
3930	68.51	-17.13	0	51.38	-85.64	51.38	188.4	256.91	85.64	68.51	171.28	685.1	548.08	274.04	34.26	154.15
3931	102.77	222.66	154.15	256.91	-85.64	239.79	428.19	411.06	205.53	51.38	119.89	548.08	359.68	222.66	-256.91	-102.77
3932	119.89	308.3	274.04	359.68	-34.26	308.3	496.7	445.32	239.79	85.64	119.89	513.83	291.17	171.28	-325.42	-137.02
3933	256.91	513.83	513.83	411.06	154.15	393.93	548.08	496.7	274.04	274.04	308.3	479.57	205.53	68.51	-171.28	17.13
3934	359.68	565.21	565.21	411.06	256.91	428.19	548.08	496.7	256.91	376.81	411.06	445.32	188.4	-34.26	-51.38	34.26
3935	428.19	565.21	496.7	359.68	239.79	411.06	445.32	428.19	154.15	325.42	411.06	359.68	222.66	-51.38	-17.13	154.15
3936	342.55	479.57	376.81	308.3	137.02	291.17	325.42	376.81	85.64	256.91	325.42	291.17	274.04	0	-34.26	205.53
3937	68.51	205.53	137.02	154.15	-34.26	-119.89	-34.26	154.15	119.89	171.28	154.15	188.4	428.19	308.3	-239.79	496.7
3938	68.51	188.4	188.4	171.28	17.13	-171.28	-51.38	137.02	205.53	239.79	171.28	188.4	445.32	428.19	-171.28	548.08
3939	34.26	137.02	256.91	239.79	-34.26	-205.53	0	68.51	359.68	239.79	137.02	137.02	411.06	548.08	17.13	496.7
3940	-17.13	17.13	171.28	188.4	-102.77	-239.79	-17.13	0	325.42	154.15	68.51	51.38	376.81	565.21	137.02	428.19
3941	-137.02	-239.79	-154.15	-102.77	-342.55	-393.93	-274.04	-205.53	85.64	0	-17.13	-51.38	205.53	496.7	274.04	359.68
3942	-154.15	-342.55	-325.42	-274.04	-376.81	-462.44	-462.44	-291.17	-17.13	-34.26	-51.38	-119.89	119.89	393.93	274.04	291.17
3943	-137.02	-325.42	-496.7	-445.32	-274.04	-496.7	-685.1	-393.93	-256.91	17.13	-85.64	-222.66	-34.26	154.15	171.28	-34.26
3944	-137.02	-291.17	-445.32	-428.19	-205.53	-513.83	-702.23	-393.93	-274.04	-34.26	-137.02	-325.42	-119.89	34.26	17.13	-154.15
3945	-137.02	-205.53	-291.17	-222.66	-102.77	-599.46	-667.97	-291.17	-137.02	-154.15	-256.91	-479.57	-154.15	0	-188.4	-239.79
3946	-102.77	-119.89	-239.79	-119.89	-51.38	-582.34	-582.34	-205.53	0	-205.53	-256.91	-462.44	-85.64	0	-222.66	-85.64
3947	0	34.26	-85.64	-17.13	-119.89	-325.42	-291.17	0	154.15	-51.38	-17.13	-137.02	171.28	171.28	-68.51	291.17
3948	17.13	51.38	-34.26	17.13	-205.53	-102.77	-119.89	119.89	205.53	0	34.26	34.26	308.3	256.91	34.26	428.19
3949	-34.26	68.51	17.13	17.13	-291.17	85.64	68.51	239.79	222.66	154.15	171.28	308.3	411.06	291.17	256.91	479.57
3950	-85.64	51.38	-17.13	0	-239.79	119.89	68.51	222.66	171.28	188.4	205.53	325.42	393.93	274.04	274.04	445.32
3951	-17.13	188.4	0	17.13	51.38	85.64	34.26	154.15	-17.13	137.02	222.66	291.17	274.04	239.79	188.4	308.3
3952	102.77	342.55	17.13	0	188.4	119.89	68.51	102.77	-34.26	154.15	274.04	291.17	239.79	239.79	137.02	239.79
3953	274.04	376.81	171.28	34.26	188.4	205.53	205.53	119.89	-68.51	222.66	239.79	222.66	119.89	222.66	325.42	137.02
3954	222.66	291.17	154.15	68.51	85.64	137.02	119.89	68.51	-34.26	171.28	137.02	102.77	17.13	154.15	325.42	85.64
3955	154.15	239.79	85.64	68.51	17.13	-154.15	-119.89	17.13	0	-17.13	-137.02	-188.4	-222.66	-51.38	85.64	-34.26
3956	205.53	308.3	85.64	34.26	68.51	-291.17	-188.4	0	17.13	-119.89	-274.04	-376.81	-359.68	-188.4	-68.51	-171.28
3957	393.93	548.08	102.77	68.51	171.28	-376.81	-188.4	0	34.26	-274.04	-445.32	-633.72	-479.57	-342.55	-445.32	-393.93
3958	393.93	599.46	154.15	85.64	154.15	-325.42	-137.02	17.13	34.26	-291.17	-462.44	-719.36	-445.32	-359.68	-582.34	-376.81
3959	256.91	599.46	256.91	205.53	17.13	-102.77	-51.38	51.38	102.77	-274.04	-342.55	-633.72	-239.79	-256.91	-702.23	-274.04
3960	222.66	599.46	359.68	274.04	0	0	17.13	119.89	171.28	-222.66	-222.66	-496.7	-154.15	-222.66	-702.23	-274.04
3961	308.3	667.97	496.7	393.93	119.89	137.02	137.02	325.42	239.79	-34.26	34.26	-102.77	-137.02	-274.04	-548.08	-393.93
3962	359.68	685.1	479.57	376.81	188.4	256.91	256.91	393.93	188.4	34.26	154.15	51.38	-137.02	-342.55	-376.81	-411.06
3963	308.3	616.59	239.79	119.89	256.91	325.42	256.91	274.04	0	291.17	325.42	325.42	-85.64	-342.55	0	-137.02
3964	222.66	462.44	102.77	34.26	205.53	274.04	188.4	188.4	-85.64	359.68	359.68	411.06	-34.26	-256.91	222.66	34.26
3965	68.51	85.64	-34.26	-34.26	119.89	171.28	17.13	17.13	-85.64	274.04	256.91	376.81	-34.26	-102.77	496.7	359.68
3966	17.13	-17.13	0	17.13	51.38	154.15	0	0	-17.13	137.02	137.02	274.04	-34.26	-34.26	513.83	411.06
3967	-17.13	-119.89	0	0	-17.13	154.15	0	0	-17.13	-85.64	-85.64	0	-51.38	34.26	376.81	359.68
3968	-85.64	-85.64	-51.38	-51.38	-34.26	119.89	0	-34.26	-51.38	-171.28	-222.66	-205.53	-137.02	51.38	239.79	256.91
3969	-222.66	-171.28	-205.53	-222.66	-205.53	-274.04	-411.06	-325.42	-119.89	-359.68	-479.57	-856.38	-582.34	-102.77	-359.68	-274.04
3970	-239.79	-274.04	-222.66	-171.28	-274.04	-411.06	-530.95	-376.81	-102.77	-393.93	-496.7	-993.4	-633.72	-154.15	-565.21	-445.32
3971	-291.17	-513.83	-239.79	-137.02	-325.42	-445.32	-530.95	-291.17	-51.38	-325.42	-411.06	-993.4	-393.93	-17.13	-753.61	-376.81
3972	-325.42	-599.46	-256.91	-154.15	-239.79	-359.68	-445.32	-222.66	-85.64	-239.79	-342.55	-873.5	-154.15	68.51	-770.74	-222.66
3973	-376.81	-599.46	-274.04	-239.79	-17.13	-137.02	-171.28	-85.64	-102.77	-137.02	-171.28	-616.59	137.02	205.53	-736.48	-51.38
3974	-376.81	-513.83	-274.04	-256.91	-34.26	-51.38	-102.77	-85.64	-102.77	-119.89	-137.02	-565.21	154.15	137.02	-719.36	-137.02
